"Date","Price","Open","High","Low","Vol.","Change %"
"20-03-2022","34.430","34.430","34.430","34.430","0.02K","-3.00%"
"13-03-2022","35.495","35.495","35.495","35.495","0.01K","-4.44%"
"06-03-2022","37.145","37.145","37.145","37.145","","-3.89%"
"27-02-2022","38.650","38.650","38.650","38.650","","40.49%"
"20-02-2022","27.510","27.510","27.510","27.510","","15.56%"
"13-02-2022","23.805","23.805","23.805","23.805","","-3.11%"
"06-02-2022","24.570","24.570","24.570","24.570","","-3.08%"
"30-01-2022","25.350","25.350","25.350","25.350","","-5.45%"
"23-01-2022","26.810","26.810","26.810","26.810","","21.37%"
"16-01-2022","22.090","22.090","22.090","22.090","","-32.74%"
"09-01-2022","32.845","32.845","32.845","32.845","","-3.25%"
"02-01-2022","33.950","33.950","33.950","33.950","","11.33%"
"26-12-2021","30.495","30.495","30.495","30.495","","-21.49%"
"19-12-2021","38.840","38.840","38.840","38.840","","-8.50%"
"12-12-2021","42.450","42.450","42.450","42.450","","20.55%"
"05-12-2021","35.215","35.215","35.215","35.215","","3.00%"
"28-11-2021","34.190","34.190","34.190","34.190","","-2.01%"
"21-11-2021","34.890","34.890","34.890","34.890","","1.85%"
"14-11-2021","34.255","34.255","34.255","34.255","","8.52%"
"07-11-2021","31.565","31.565","31.565","31.565","","-0.17%"
"31-10-2021","31.620","31.620","31.620","31.620","","5.40%"
"24-10-2021","30.000","30.000","30.000","30.000","","-9.79%"
"17-10-2021","33.255","33.255","33.255","33.255","","0.00%"
"10-10-2021","33.254","33.254","33.254","33.254","","3.72%"
"03-10-2021","32.060","32.060","32.060","32.060","","3.19%"
"26-09-2021","31.070","31.070","31.070","31.070","","13.00%"
"19-09-2021","27.495","27.495","27.495","27.495","","9.98%"
"12-09-2021","25.000","25.000","25.000","25.000","","34.05%"
"05-09-2021","18.650","18.650","18.650","18.650","","1.03%"
"29-08-2021","18.460","18.460","18.460","18.460","","4.29%"
"22-08-2021","17.700","17.700","17.700","17.700","","13.64%"
"15-08-2021","15.575","15.575","15.575","15.575","","-0.51%"
"08-08-2021","15.655","15.655","15.655","15.655","","-0.29%"
"01-08-2021","15.700","15.700","15.700","15.700","","6.40%"
"25-07-2021","14.755","14.755","14.755","14.755","","4.06%"
"18-07-2021","14.180","14.180","14.180","14.180","","1.58%"
"11-07-2021","13.960","13.960","13.960","13.960","","7.38%"
"04-07-2021","13.000","13.000","13.000","13.000","","-0.88%"
"27-06-2021","13.115","13.115","13.115","13.115","","2.82%"
"20-06-2021","12.755","12.755","12.755","12.755","","7.46%"
"13-06-2021","11.870","11.870","11.870","11.870","","8.70%"
"06-06-2021","10.920","10.920","10.920","10.920","","2.97%"
"30-05-2021","10.605","10.605","10.605","10.605","","1.97%"
"23-05-2021","10.400","10.400","10.400","10.400","","4.21%"
"16-05-2021","9.980","9.980","9.980","9.980","","9.37%"
"09-05-2021","9.125","9.125","9.125","9.125","","0.88%"
"02-05-2021","9.045","9.045","9.045","9.045","","1.69%"
"25-04-2021","8.895","8.895","8.895","8.895","","8.48%"
"18-04-2021","8.200","8.200","8.200","8.200","","-0.55%"
"11-04-2021","8.245","8.245","8.245","8.245","","18.04%"
"04-04-2021","6.985","6.985","6.985","6.985","","0.87%"
"28-03-2021","6.925","6.925","6.925","6.925","","-0.07%"
"21-03-2021","6.930","6.930","6.930","6.930","","7.86%"
"14-03-2021","6.425","6.425","6.425","6.425","0.02K","5.85%"
"07-03-2021","6.070","6.070","6.070","6.070","","1.17%"
"28-02-2021","6.000","6.000","6.000","6.000","","-3.15%"
"21-02-2021","6.195","6.195","6.195","6.195","","-3.20%"
"14-02-2021","6.400","6.400","6.400","6.400","","-22.56%"
"07-02-2021","8.264","8.264","8.264","8.264","","-1.44%"
"31-01-2021","8.385","8.385","8.385","8.385","","-5.47%"
"24-01-2021","8.870","8.870","8.870","8.870","","0.17%"
"17-01-2021","8.855","8.855","8.855","8.855","","-51.64%"
"10-01-2021","18.309","18.309","18.309","18.309","","6.14%"
